op;seek
add;1275400
dsp;1275400
add;361144
dsp;361144
add;280976
add;871112
add;1824584
add;1564160
add;1765128
add;287488
add;1347008
add;435968
add;1428600
add;540456
add;1216432
add;1633632
add;1246208
add;382128
add;1586976
add;418752
add;1942064
add;72816
add;2016560
add;851024
add;1662872
add;1564648
add;1875032
add;1348480
add;677432
add;637992
add;1456456
add;238904
add;970064
add;1614328
add;1033120
add;867888
add;189024
add;1659736
add;1464680
add;2067792
add;419096
add;1628744
add;279072
dsp;382128
dsp;418752
dsp;419096
add;1255480
add;1292912
add;467640
add;1036216
add;1806928
add;798240
dsp;435968
dsp;467640
dsp;540456
dsp;637992
dsp;677432
add;1809784
add;1135520
add;202800
add;701488
add;899264
dsp;701488
add;1649696
dsp;798240
add;991160
dsp;851024
dsp;867888
add;750712
add;950944
add;1947600
dsp;871112
dsp;899264
add;365864
dsp;950944
dsp;970064
dsp;991160
add;360760
add;1609952
dsp;1033120
add;657400
add;889528
dsp;1036216
add;54344
dsp;1135520
dsp;1216432
add;1973472
dsp;1246208
dsp;1255480
dsp;1292912
dsp;1347008
dsp;1348480
dsp;1428600
dsp;1456456
dsp;1464680
dsp;1564160
dsp;1564648
dsp;1586976
dsp;1609952
dsp;1614328
dsp;1628744
dsp;1633632
dsp;1649696
dsp;1659736
dsp;1662872
dsp;1765128
dsp;1806928
dsp;1809784
dsp;1824584
dsp;1875032
dsp;1942064
dsp;1947600
dsp;1973472
dsp;2016560
dsp;2067792
dsp;889528
dsp;750712
dsp;657400
dsp;365864
dsp;360760
dsp;287488
dsp;280976
dsp;279072
dsp;238904
dsp;202800
dsp;189024
dsp;72816
dsp;54344
add;1303088
dsp;1303088
add;362880
dsp;362880
add;1277248
dsp;1277248
add;1908008
dsp;1908008
add;212360
dsp;212360
add;280944
dsp;280944
add;1266752
dsp;1266752
add;703480
dsp;703480
add;1240096
dsp;1240096
add;1291496
dsp;1291496
add;925656
dsp;925656
add;1474120
dsp;1474120
add;1731624
dsp;1731624
add;561704
dsp;561704
add;236952
dsp;236952
add;1640064
dsp;1640064
add;1423664
dsp;1423664
add;787296
dsp;787296
add;1585104
dsp;1585104
add;499344
dsp;499344
add;1870336
add;155448
add;1818760
add;936184
add;995440
add;29560
add;492912
add;1979592
add;937208
add;1176704
add;120072
add;674264
add;2090920
add;1101768
add;2023912
add;1069744
dsp;492912
dsp;674264
dsp;936184
dsp;937208
dsp;995440
dsp;1069744
dsp;1101768
dsp;1176704
add;998424
add;1289152
add;2046064
add;1868272
dsp;1289152
dsp;998424
dsp;1818760
dsp;1868272
dsp;1870336
dsp;1979592
dsp;2023912
dsp;2046064
dsp;2090920
dsp;155448
add;1932480
add;1069544
add;729440
dsp;120072
dsp;29560
dsp;729440
dsp;1069544
dsp;1932480
add;1945368
dsp;1945368
add;542880
dsp;542880
add;1473824
dsp;1473824
add;940896
dsp;940896
add;725512
dsp;725512
add;855192
dsp;855192
add;1667072
dsp;1667072
add;1548936
add;145360
add;935736
add;2066176
add;146128
add;1641704
add;1456408
add;1238480
add;1573968
add;720824
add;840608
add;928976
add;701472
add;1457936
dsp;1641704
dsp;1573968
dsp;1548936
dsp;1457936
dsp;1456408
dsp;1238480
dsp;935736
dsp;928976
dsp;840608
dsp;720824
dsp;701472
dsp;146128
dsp;145360
dsp;2066176
add;1061096
dsp;1061096
add;273296
dsp;273296
add;1081728
dsp;1081728
add;1816304
dsp;1816304
add;1962616
dsp;1962616
add;788080
dsp;788080
add;1395344
dsp;1395344
add;965232
dsp;965232
add;699968
dsp;699968
add;902072
dsp;902072
add;987344
add;743232
add;699152
add;377704
add;1237568
add;1058960
add;1340688
add;1349304
dsp;987344
dsp;1058960
dsp;1237568
dsp;1340688
dsp;1349304
dsp;743232
add;136176
add;2030968
add;1975408
add;107032
add;664448
add;1949616
add;947608
add;327688
dsp;699152
dsp;664448
dsp;947608
dsp;377704
add;464408
add;542768
add;1220896
add;1542320
add;563768
add;771952
add;1617832
add;9792
add;281296
dsp;327688
dsp;281296
dsp;136176
dsp;107032
add;905000
add;231488
add;503008
add;396816
add;567824
add;293544
add;592408
add;1916528
add;1294464
add;856696
add;1495632
add;1712768
add;212552
dsp;9792
dsp;212552
dsp;231488
dsp;293544
dsp;396816
dsp;464408
dsp;503008
dsp;542768
dsp;563768
dsp;567824
dsp;592408
dsp;771952
dsp;856696
dsp;905000
dsp;1220896
dsp;1294464
dsp;1495632
dsp;1542320
dsp;1617832
dsp;1712768
add;149184
dsp;1916528
dsp;1949616
dsp;1975408
dsp;2030968
dsp;149184
add;1460328
dsp;1460328
add;602664
add;1869312
add;1787984
add;945952
add;1660336
add;1764368
add;1817208
add;290232
add;1931728
add;1665680
add;766976
dsp;1660336
dsp;1665680
dsp;1764368
dsp;1787984
dsp;1817208
dsp;1869312
add;494408
add;786280
add;402696
dsp;1931728
dsp;945952
dsp;786280
dsp;766976
dsp;602664
dsp;494408
dsp;402696
dsp;290232
add;1701568
dsp;1701568
add;99512
dsp;99512
add;1861200
dsp;1861200
add;47472
dsp;47472
add;1865120
dsp;1865120
add;425488
dsp;425488
add;104520
dsp;104520
add;1361560
dsp;1361560
add;1688344
dsp;1688344
add;1563640
dsp;1563640
add;1137496
dsp;1137496
add;250416
add;1522816
add;1970296
add;420896
add;363344
add;444568
add;9552
add;634056
add;1381064
add;905768
add;945824
dsp;945824
dsp;905768
dsp;634056
dsp;444568
dsp;420896
dsp;363344
dsp;250416
dsp;9552
dsp;1381064
dsp;1522816
dsp;1970296
add;1996152
dsp;1996152
add;1446896
dsp;1446896
add;1853120
add;292600
add;1042032
add;380992
add;314288
add;1093320
add;1873368
add;1112152
add;1504704
add;1450672
add;1918240
add;30952
add;1463328
add;704664
add;1097848
add;1759656
add;1224488
add;1821984
add;74208
add;1755816
add;1189832
add;1670192
add;1947512
add;352800
dsp;1450672
add;396504
dsp;1463328
dsp;1504704
dsp;1670192
dsp;1755816
dsp;1759656
dsp;1821984
dsp;1853120
dsp;1873368
dsp;1918240
dsp;1947512
add;1121960
add;1039792
add;172768
add;38632
add;1798184
add;1810368
add;1367584
add;1933864
add;735040
add;1623544
add;387648
add;1870280
add;1266832
add;1076488
dsp;1933864
dsp;1870280
dsp;1810368
add;1497232
dsp;1798184
dsp;1623544
dsp;1497232
dsp;1367584
dsp;1266832
dsp;1224488
dsp;1189832
dsp;1121960
dsp;1112152
dsp;1097848
dsp;1093320
dsp;1076488
dsp;1042032
dsp;1039792
dsp;735040
dsp;704664
dsp;396504
dsp;387648
dsp;380992
dsp;352800
dsp;314288
dsp;292600
dsp;172768
dsp;74208
dsp;38632
dsp;30952
add;102208
dsp;102208
add;2080344
dsp;2080344
add;1876200
dsp;1876200
add;619288
dsp;619288
add;1114904
dsp;1114904
add;44504
dsp;44504
add;940008
dsp;940008
add;1454032
dsp;1454032
add;626560
dsp;626560
add;2026576
dsp;2026576
add;1812984
dsp;1812984
add;97960
dsp;97960
add;151576
dsp;151576
add;1925000
dsp;1925000
add;1240192
add;1912832
add;1703488
add;917552
add;553456
add;848856
add;14272
add;1832920
dsp;1912832
dsp;1832920
